,alldim,dim8,dim16,dim32,dim64
H1,0.3,0.14,0.22,0.16,0.26
H2,0.02,0.12,0.26,0.26,0.24
H3,0.54,0.28,0.18,0.42,0.2
H4,0.14,0.46,0.34,0.16,0.3
A,0.64,0.52,0.54,0.54,0.56
B,0.36,0.48,0.46,0.46,0.44
8,0.06,1.0,0.0,0.0,0.0
16,0.46,0.0,1.0,0.0,0.0
32,0.34,0.0,0.0,1.0,0.0
64,0.14,0.0,0.0,0.0,1.0
10,0.32,0.1,0.3,0.5,0.02
100,0.48,0.6,0.5,0.36,0.68
1000,0.2,0.3,0.2,0.14,0.3
1.0,0.26,0.96,0.3,0.28,0.06
2.0,0.54,0.04,0.54,0.52,0.38
4.0,0.2,0.0,0.16,0.2,0.56
fixed,0.48,0.44,0.52,0.52,0.56
max,0.52,0.56,0.48,0.48,0.44
L0,0.0,0.18,0.2,0.02,0.26
L1,0.72,0.44,0.52,0.58,0.36
L2,0.28,0.38,0.28,0.4,0.38
