,alldim,dim8,dim16,dim32,dim64
H1,0.34,0.32,0.34,0.34,0.34
H2,0.4,0.32,0.3,0.32,0.32
H3,0.08,0.26,0.2,0.16,0.12
H4,0.18,0.1,0.16,0.18,0.22
A,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,0.0,0.0,0.0
16,0.04,0.0,1.0,0.0,0.0
32,0.34,0.0,0.0,1.0,0.0
64,0.62,0.0,0.0,0.0,1.0
10,0.24,0.54,0.46,0.38,0.0
100,0.72,0.42,0.54,0.62,0.86
1000,0.04,0.04,0.0,0.0,0.14
1.0,0.62,0.38,0.42,0.48,0.34
2.0,0.2,0.38,0.44,0.34,0.34
4.0,0.18,0.24,0.14,0.18,0.32
fixed,0.42,0.8,0.6,0.54,0.36
max,0.58,0.2,0.4,0.46,0.64
L0,0.06,0.28,0.12,0.14,0.18
L1,0.58,0.44,0.58,0.54,0.54
L2,0.36,0.28,0.3,0.32,0.28
