,alldim,dim8,dim16,dim32,dim64
H1,0.08,0.16,0.14,0.1,0.18
H2,0.38,0.12,0.26,0.44,0.28
H3,0.12,0.28,0.28,0.32,0.18
H4,0.42,0.44,0.32,0.14,0.36
A,0.6,0.54,0.52,0.4,0.66
B,0.4,0.46,0.48,0.6,0.34
8,0.06,1.0,0.0,0.0,0.0
16,0.24,0.0,1.0,0.0,0.0
32,0.42,0.0,0.0,1.0,0.0
64,0.28,0.0,0.0,0.0,1.0
10,0.1,0.14,0.34,0.3,0.0
100,0.52,0.6,0.46,0.46,0.56
1000,0.38,0.26,0.2,0.24,0.44
1.0,0.34,0.96,0.54,0.36,0.06
2.0,0.46,0.04,0.44,0.5,0.5
4.0,0.2,0.0,0.02,0.14,0.44
fixed,0.4,0.54,0.42,0.44,0.48
max,0.6,0.46,0.58,0.56,0.52
L0,0.5,0.2,0.3,0.18,0.26
L1,0.06,0.52,0.46,0.38,0.42
L2,0.44,0.28,0.24,0.44,0.32
