,alldim,dim8,dim16,dim32,dim64
H1,0.32,0.28,0.26,0.16,0.34
H2,0.26,0.34,0.24,0.3,0.22
H3,0.28,0.3,0.3,0.3,0.26
H4,0.14,0.08,0.2,0.24,0.18
A,1.0,1.0,1.0,1.0,1.0
8,0.1,1.0,0.0,0.0,0.0
16,0.08,0.0,1.0,0.0,0.0
32,0.32,0.0,0.0,1.0,0.0
64,0.5,0.0,0.0,0.0,1.0
10,0.16,0.46,0.26,0.18,0.06
100,0.56,0.5,0.66,0.58,0.58
1000,0.28,0.04,0.08,0.24,0.36
1.0,0.56,0.42,0.44,0.52,0.56
2.0,0.24,0.38,0.32,0.34,0.24
4.0,0.2,0.2,0.24,0.14,0.2
fixed,0.3,0.38,0.4,0.28,0.34
max,0.7,0.62,0.6,0.72,0.66
L0,0.38,0.1,0.24,0.38,0.38
L1,0.4,0.52,0.38,0.3,0.34
L2,0.22,0.38,0.38,0.32,0.28
