,alldim,dim8,dim16,dim32,dim64
H1,0.04,0.06,0.04,0.06,0.1
H2,0.04,0.08,0.02,0.12,0.2
H3,0.26,0.26,0.2,0.28,0.4
H4,0.66,0.6,0.74,0.54,0.3
A,0.56,0.54,0.48,0.48,0.64
B,0.44,0.46,0.52,0.52,0.36
8,0.08,1.0,0.0,0.0,0.0
16,0.28,0.0,1.0,0.0,0.0
32,0.42,0.0,0.0,1.0,0.0
64,0.22,0.0,0.0,0.0,1.0
10,0.0,0.08,0.02,0.02,0.0
100,0.64,0.52,0.54,0.7,0.7
1000,0.36,0.4,0.44,0.28,0.3
1.0,0.34,0.86,0.5,0.28,0.1
2.0,0.36,0.1,0.5,0.52,0.42
4.0,0.3,0.04,0.0,0.2,0.48
fixed,0.5,0.48,0.36,0.52,0.46
max,0.5,0.52,0.64,0.48,0.54
L0,0.2,0.26,0.24,0.22,0.24
L1,0.48,0.3,0.32,0.42,0.46
L2,0.32,0.44,0.44,0.36,0.3
