,alldim,dim8,dim16,dim32,dim64
H1,0.28,0.21,0.25,0.22,0.15
H2,0.27,0.2,0.32,0.27,0.29
H3,0.3,0.24,0.28,0.32,0.34
H4,0.15,0.35,0.15,0.19,0.22
A,0.6,0.54,0.57,0.59,0.46
B,0.4,0.46,0.43,0.41,0.54
8,0.02,1.0,0.0,0.0,0.0
16,0.16,0.0,1.0,0.0,0.0
32,0.5,0.0,0.0,1.0,0.0
64,0.32,0.0,0.0,0.0,1.0
10,0.24,0.33,0.34,0.36,0.11
100,0.43,0.49,0.45,0.44,0.45
1000,0.33,0.18,0.21,0.2,0.44
1.0,0.14,0.77,0.32,0.18,0.1
2.0,0.42,0.23,0.55,0.41,0.4
4.0,0.44,0.0,0.13,0.41,0.5
fixed,0.59,0.45,0.47,0.54,0.46
max,0.41,0.55,0.53,0.46,0.54
L0,0.21,0.13,0.07,0.13,0.32
L1,0.51,0.49,0.53,0.47,0.41
L2,0.28,0.38,0.4,0.4,0.27
