,alldim,dim8,dim16,dim32,dim64
H1,0.33,0.21,0.23,0.33,0.23
H2,0.21,0.2,0.28,0.16,0.22
H3,0.33,0.24,0.24,0.24,0.27
H4,0.13,0.35,0.25,0.27,0.28
A,0.5,0.54,0.49,0.52,0.5
B,0.5,0.46,0.51,0.48,0.5
8,0.04,1.0,0.0,0.0,0.0
16,0.15,0.0,1.0,0.0,0.0
32,0.39,0.0,0.0,1.0,0.0
64,0.42,0.0,0.0,0.0,1.0
10,0.21,0.33,0.3,0.37,0.12
100,0.41,0.49,0.49,0.38,0.43
1000,0.38,0.18,0.21,0.25,0.45
1.0,0.14,0.77,0.29,0.18,0.09
2.0,0.45,0.23,0.59,0.45,0.41
4.0,0.41,0.0,0.12,0.37,0.5
fixed,0.58,0.45,0.51,0.52,0.47
max,0.42,0.55,0.49,0.48,0.53
L0,0.22,0.13,0.11,0.17,0.35
L1,0.45,0.49,0.57,0.49,0.45
L2,0.33,0.38,0.32,0.34,0.2
