,alldim,dim8,dim16,dim32,dim64
H1,0.19,0.31,0.25,0.19,0.22
H2,0.25,0.31,0.28,0.24,0.24
H3,0.28,0.3,0.26,0.28,0.29
H4,0.28,0.08,0.21,0.29,0.25
A,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,0.0,0.0,0.0
16,0.25,0.0,1.0,0.0,0.0
32,0.41,0.0,0.0,1.0,0.0
64,0.34,0.0,0.0,0.0,1.0
10,0.1,0.14,0.15,0.15,0.0
100,0.45,0.47,0.46,0.45,0.5
1000,0.45,0.39,0.39,0.4,0.5
1.0,0.46,0.51,0.51,0.37,0.34
2.0,0.32,0.27,0.33,0.38,0.37
4.0,0.22,0.22,0.16,0.25,0.29
fixed,0.29,0.5,0.45,0.41,0.44
max,0.71,0.5,0.55,0.59,0.56
L0,0.1,0.14,0.12,0.18,0.23
L1,0.41,0.46,0.51,0.39,0.42
L2,0.49,0.4,0.37,0.43,0.35
