,alldim,dim8,dim16,dim32,dim64
H1,0.2,0.24,0.25,0.21,0.21
H2,0.3,0.2,0.24,0.26,0.22
H3,0.16,0.31,0.22,0.36,0.23
H4,0.34,0.25,0.29,0.17,0.34
A,0.28,0.51,0.59,0.5,0.53
B,0.72,0.49,0.41,0.5,0.47
8,0.06,1.0,0.0,0.0,0.0
16,0.32,0.0,1.0,0.0,0.0
32,0.33,0.0,0.0,1.0,0.0
64,0.29,0.0,0.0,0.0,1.0
10,0.18,0.22,0.33,0.28,0.01
100,0.56,0.49,0.41,0.44,0.6
1000,0.26,0.29,0.26,0.28,0.39
1.0,0.37,0.9,0.49,0.36,0.12
2.0,0.4,0.1,0.49,0.47,0.45
4.0,0.23,0.0,0.02,0.17,0.43
fixed,0.43,0.45,0.46,0.46,0.45
max,0.57,0.55,0.54,0.54,0.55
L0,0.33,0.2,0.2,0.17,0.28
L1,0.34,0.5,0.46,0.48,0.39
L2,0.33,0.3,0.34,0.35,0.33
