,alldim,dim8,dim16,dim32,dim64
H1,0.07,0.17,0.09,0.07,0.18
H2,0.09,0.16,0.12,0.16,0.26
H3,0.25,0.33,0.3,0.35,0.34
H4,0.59,0.34,0.49,0.42,0.22
A,0.5,0.48,0.5,0.53,0.54
B,0.5,0.52,0.5,0.47,0.46
8,0.05,1.0,0.0,0.0,0.0
16,0.22,0.0,1.0,0.0,0.0
32,0.48,0.0,0.0,1.0,0.0
64,0.25,0.0,0.0,0.0,1.0
10,0.0,0.13,0.05,0.03,0.01
100,0.67,0.51,0.58,0.65,0.64
1000,0.33,0.36,0.37,0.32,0.35
1.0,0.31,0.79,0.51,0.37,0.2
2.0,0.43,0.16,0.48,0.46,0.4
4.0,0.26,0.05,0.01,0.17,0.4
fixed,0.48,0.49,0.46,0.47,0.43
max,0.52,0.51,0.54,0.53,0.57
L0,0.23,0.24,0.19,0.23,0.19
L1,0.45,0.4,0.39,0.42,0.53
L2,0.32,0.36,0.42,0.35,0.28
