,mrr_acc,mrr_wF1,mrank_acc,mrank_wF1,relH5_acc,relH5_wF1
alldim,-0.16,-0.24,0.14,0.26,-0.14,-0.23
dim8,0.01,-0.18,-0.03,0.17,-0.05,-0.20
dim16,-0.28,-0.38,0.30,0.39,-0.37,-0.42
dim32,-0.31,-0.36,0.28,0.34,-0.30,-0.38
dim64,-0.21,-0.19,0.29,0.27,-0.15,-0.12
