,mrr_acc,mrr_wF1,mrank_acc,mrank_wF1,relH1_acc,relH1_wF1
alldim,0.76,0.76,-0.68,-0.68,0.91,0.91
dim8,0.66,0.66,-0.55,-0.55,0.88,0.88
dim16,0.81,0.81,-0.77,-0.76,0.87,0.87
dim32,0.74,0.73,-0.73,-0.72,0.86,0.86
dim64,0.78,0.77,-0.71,-0.70,0.95,0.94
