,mrr_acc,mrr_wF1,mrank_acc,mrank_wF1,relH1_acc,relH1_wF1
alldim,0.58,0.58,-0.45,-0.45,0.54,0.54
dim8,0.67,0.67,-0.59,-0.59,0.64,0.64
dim16,0.48,0.47,-0.31,-0.30,0.43,0.42
dim32,0.43,0.43,-0.26,-0.27,0.37,0.38
dim64,0.66,0.65,-0.58,-0.57,0.60,0.60
