,mrr_acc,mrr_wF1,mrank_acc,mrank_wF1,relH1_acc,relH1_wF1
alldim,0.67,0.67,-0.70,-0.70,0.55,0.55
dim8,0.62,0.62,-0.73,-0.73,0.48,0.48
dim16,0.56,0.56,-0.59,-0.59,0.41,0.41
dim32,0.49,0.49,-0.46,-0.45,0.37,0.36
dim64,0.74,0.74,-0.75,-0.74,0.67,0.67
