,mrr_acc,mrr_wF1,mrank_acc,mrank_wF1,relH1_acc,relH1_wF1
alldim,0.80,0.80,-0.74,-0.74,0.77,0.77
dim8,0.80,0.80,-0.63,-0.63,0.76,0.76
dim16,0.74,0.74,-0.62,-0.62,0.74,0.74
dim32,0.77,0.77,-0.71,-0.70,0.76,0.76
dim64,0.82,0.82,-0.81,-0.81,0.76,0.76
