,mrr_acc,mrr_wF1,mrank_acc,mrank_wF1,relH1_acc,relH1_wF1
alldim,0.12,0.11,0.04,0.05,0.20,0.20
dim8,-0.09,-0.09,0.21,0.22,-0.04,-0.05
dim16,-0.01,-0.01,0.16,0.17,0.06,0.06
dim32,0.07,0.07,-0.01,0.00,0.29,0.29
dim64,0.21,0.21,-0.05,-0.05,0.40,0.41
